turn,n_macroparticles,intensity,epsn_x,epsn_y,eps_z,mean_x_m,mean_y_m,mean_z_m
13300.0,1000.0,1950000000.0,7.058976349432882e-07,5.51593476238659e-07,4.9428484988237e-06,-0.0002465963798051912,-1.3093114476025945e-05,0.07059427001921839
13400.0,1000.0,1950000000.0,7.058221346362607e-07,5.485344017005197e-07,4.942516149489377e-06,4.742681873031226e-05,5.950368922762336e-05,0.029411189476841723
13500.0,1000.0,1950000000.0,7.053530142267271e-07,5.486115605950235e-07,4.942976546536494e-06,0.0001527055448928829,-6.684719757311136e-05,-0.02301011077804863
13600.0,1000.0,1950000000.0,6.99430041430998e-07,5.560766085928766e-07,4.943532544483845e-06,0.00012550550055011463,3.415387975873813e-05,-0.06666304747298805
13700.0,1000.0,1950000000.0,7.015832810892628e-07,5.577660277788307e-07,4.94471648776684e-06,5.941500334354943e-05,0.00010905957719173927,-0.08516327941583912
13800.0,1000.0,1950000000.0,7.023395360585573e-07,5.455176104506245e-07,4.945722316183808e-06,-0.00013767811591232972,-0.00026230075336515653,-0.07108706021465508
13900.0,1000.0,1950000000.0,7.11777876122471e-07,5.409698867450258e-07,4.946486182677739e-06,0.00010134025983882292,1.0692772458973106e-05,-0.029863097842812738
14000.0,1000.0,1950000000.0,7.096668208289336e-07,5.351008039438795e-07,4.946308392229449e-06,-0.00012117291633002653,7.76307101865825e-05,0.02270854717937873
14100.0,1000.0,1950000000.0,7.12400714249987e-07,5.46800113301902e-07,4.945571738862019e-06,1.864848859153659e-05,-0.00011635337863667658,0.06673022365484922
14200.0,1000.0,1950000000.0,7.030787735074741e-07,5.624391867090275e-07,4.944623926117115e-06,-0.00038751593174836917,-0.00017501165129296374,0.08502369302246189
14300.0,1000.0,1950000000.0,7.109583572125163e-07,5.536906740327721e-07,4.943291215147174e-06,-8.623479340445215e-05,1.0068853249911051e-05,0.07086850503758067
14400.0,1000.0,1950000000.0,7.064667556546909e-07,5.656265663026326e-07,4.942287074719589e-06,6.0404539307524176e-05,-0.000275370251634406,0.029718263996855232
14500.0,1000.0,1950000000.0,7.022970265370495e-07,5.620844451776243e-07,4.941550694921079e-06,0.0001304524506482273,-0.00018279222347681123,-0.022859940982325713
14600.0,1000.0,1950000000.0,7.117431652138868e-07,5.604584077012466e-07,4.941034352804201e-06,-0.00034619658287296984,-5.66814268695301e-05,-0.06670821564093043
14700.0,1000.0,1950000000.0,7.071598550184583e-07,5.687897450339562e-07,4.941162002162539e-06,0.0001855606901654263,5.1642312417164036e-05,-0.08521950850429907
14800.0,1000.0,1950000000.0,6.969635960450671e-07,5.710434566101351e-07,4.941747572520298e-06,0.0006387485091331352,-8.498905268341438e-05,-0.07134694211956473
14900.0,1000.0,1950000000.0,6.99628163848233e-07,5.615398865467921e-07,4.942240574345679e-06,0.0003987106014880114,0.0001276914628569264,-0.030154664117862284
15000.0,1000.0,1950000000.0,7.074551012894504e-07,5.530698431374842e-07,4.943037567455965e-06,5.608443728919016e-05,7.739644180900987e-05,0.022481158122912414
15100.0,1000.0,1950000000.0,6.938711748122878e-07,5.67105685016762e-07,4.943330327091309e-06,-0.0003522319673397519,0.00010041793840615512,0.06668756495643435
15200.0,1000.0,1950000000.0,6.980564636751011e-07,5.651395639085861e-07,4.943326882557938e-06,0.0004055031520170686,0.00011444445036924731,0.0854027561602666
15300.0,1000.0,1950000000.0,7.058282410664831e-07,5.532336656442106e-07,4.943005200041969e-06,-1.8300013652722015e-06,-0.00014400059794732412,0.07161850589428839
15400.0,1000.0,1950000000.0,7.113832255770089e-07,5.584397581938162e-07,4.942639958177879e-06,-0.00027219104451112425,3.779961257817677e-05,0.030496052645367134
15500.0,1000.0,1950000000.0,7.133355482349661e-07,5.575287178619983e-07,4.941907649886513e-06,-0.00011426582169327702,0.0003497525801499203,-0.02220877317220289
15600.0,1000.0,1950000000.0,7.080123611778538e-07,5.612900445524262e-07,4.94120337839906e-06,0.0001526277840534258,0.00015172825985621484,-0.06640546509751688
15700.0,1000.0,1950000000.0,7.046665684248147e-07,5.733746318775168e-07,4.941124935140058e-06,0.0002603077990583098,-0.00010945564342970616,-0.08552673324459596
15800.0,1000.0,1950000000.0,7.076325609786612e-07,5.765808825185232e-07,4.941497391597387e-06,0.00023404975179041698,9.531270444182564e-05,-0.07238407551669272
15900.0,1000.0,1950000000.0,6.994535446256912e-07,5.799161313602395e-07,4.941990320244781e-06,-0.0004938049075287595,-0.00022135570842731015,-0.03155424514503992
16000.0,1000.0,1950000000.0,7.128439505753269e-07,5.628130637350064e-07,4.942896749509547e-06,-2.5101202868827154e-05,-3.099034849813553e-05,0.021596107638448426
16100.0,1000.0,1950000000.0,7.076522500465576e-07,5.719865998975563e-07,4.943455873202887e-06,0.00024816195451314544,2.577812650065744e-05,0.06624710321740132
